구,intersection_count,street_length_total,intersection_density_per_km
강남구,3106,819757.278,3.7889264095072783
강동구,2901,638595.629,4.542780858902497
강북구,4488,650222.999,6.902247393436172
강서구,2975,770701.782,3.860118231827314
관악구,1924,413764.475,4.6499883780500975
광진구,2240,435776.76,5.140246579464219
구로구,2414,526941.055,4.581157564198523
금천구,1440,327171.201,4.401365387902831
노원구,2384,519823.365,4.5861732282849585
도봉구,2473,465177.68,5.316248191443751
동대문구,3423,589108.734,5.810472332939474
동작구,1273,358598.017,3.549935971899142
마포구,2350,535180.208,4.391044296615693
서대문구,3268,554248.439,5.896272808447188
서초구,2942,753476.193,3.9045692847789817
성동구,2509,471821.802,5.31768559520698
성북구,4612,767867.017,6.006248344952678
송파구,3389,800938.116,4.231288201047483
양천구,1777,452445.526,3.9275446388213373
영등포구,2767,637782.511,4.338469544518444
용산구,2169,431326.286,5.028675669444361
은평구,4158,707197.777,5.879543368530697
종로구,2211,454658.12,4.862994638696874
중구,1813,327529.536,5.535378647500053
중랑구,2627,497648.706,5.27882413503151
